nomeComercial,substanciaAtiva,formaFarmaceutica,dosagem,titularAIM,aimStatus,dispensacaoClass,viasAdministracao,isGeneric,margemTerapeuticaEstreita,comercializado,nRegisto,cnpem,pricePVP,detailUrl,fiUrl,rcmUrl
Abacavir GenerisMG,Abacavir,Comprimido revestido por película,300 mg,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,636382,,,,
Abacavir MylanMG,Abacavir,Comprimido revestido por película,300 mg,Viatris Limited,Autorizado,,,,,Não,,613242,,,,
Ziagen,Abacavir,Solução oral,20 mg/ml,ViiV Healthcare BV,Autorizado,,,,,Não,,15253,,,,
Abacavir + Lamivudina AurovitasMG,Abacavir + Lamivudina,Comprimido revestido por película,600 mg + 300 mg,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,600882,,,,
Abacavir + Lamivudina MylanMG,Abacavir + Lamivudina,Comprimido revestido por película,600 mg + 300 mg,Viatris Limited,Autorizado,,,,,Não,,605063,,,,
Eladynos,Abaloparatida,Solução injetável em caneta pré-cheia,80 mcg/dose,Theramex Ireland Limited,Autorizado,,,,,Não,,686364,,,,
Orencia,Abatacept,Pó para concentrado para solução para perfusão,250 mg,Bristol-Myers Squibb Pharma EEIG,Autorizado,,,,,Não,,41316,,,,
Orencia,Abatacept,Solução injetável em seringa pré-cheia,125 mg/1 ml,Bristol-Myers Squibb Pharma EEIG,Autorizado,,,,,Não,,56760,,,,
Verzenios,Abemaciclib,Comprimido revestido por película,100 mg,"Eli Lilly Nederland, B.V.",Autorizado,,,,,Não,,637382,,,,
Verzenios,Abemaciclib,Comprimido revestido por película,150 mg,"Eli Lilly Nederland, B.V.",Autorizado,,,,,Não,,637383,,,,
Verzenios,Abemaciclib,Comprimido revestido por película,50 mg,"Eli Lilly Nederland, B.V.",Autorizado,,,,,Não,,637342,,,,
Abiraterona AccordMG,Abiraterona,Comprimido revestido por película,500 mg,"Accord Healthcare, S.L.U.",Autorizado,,,,,Não,,668084,,,,
