dci,medicamento,pdf_url,info_pdf
Abaloparatida,Eladynos,https://www.ema.europa.eu/pt/documents/product-information/eladynos-epar-product-information_pt.pdf,"{""dci"": ""abaloparatida"", ""medicamento"": ""Eladynos"", ""indicacoes"": [""Tratamento da osteoporose em mulheres pós-menopáusicas com risco aumentado de fraturas""], ""indicacoes_key"": [""osteoporose"", ""pós-menopáusicas""], ""efeitos_indesejaveis"": {""frequentes"": [""Tonturas"", ""Hipercalciúria"", ""Hipercalcemia"", ""Hiperuricemia"", ""Insónia"", ""Cefaleias"", ""Palpitações"", ""Taquicardia"", ""Hipertensão"", ""Náuseas"", ""Dor abdominal"", ""Obstipação"", ""Diarreia"", ""Vómitos"", ""Prurido"", ""Erupção cutânea"", ""Dorsalgia"", ""Artralgia"", ""Dor nas extremidades"", ""Espasmos musculares (costas e pernas)"", ""Dor nos ossos"", ""Nefrolitíase"", ""Reação no local de injeção"", ""Fadiga"", ""Astenia"", ""Mal-estar geral""], ""outros"": [""Hipersensibilidade"", ""Reação anafilática"", ""Hipotensão ortostática"", ""Distensão abdominal"", ""Dor""]}, ""conservacao"": ""Após a primeira utilização ou uma vez retirada do frigorífico, conservar a caneta a temperatura inferior"", ""aviso_critico"": ""A duração máxima do tratamento é de 18 meses devido ao risco de osteossarcoma. As primeiras injeções devem ser administradas sob orientação de um profissional de saúde, com a doente em posição de sentar ou deitar, devido ao risco de hipotensão ortostática. Não usar em crianças e adolescentes com menos de 18 anos de idade."", ""idade_minima"": 18, ""gravidez_seguro"": ""nao"", ""gravidez_nota"": ""Eladynos é contraindicado durante a gravidez. Este medicamento não é indicado em mulheres com potencial para engravidar. Não deve ser utilizado em mulheres grávidas, que possam estar grávidas ou estejam a amamentar."", ""amamentacao_seguro"": ""nao"", ""amamentacao_nota"": ""Desconhece-se se a abaloparatida é excretada no leite humano. Não pode ser excluído qualquer risco para os recém-nascidos/lactentes. Eladynos é contraindicado durante a amamentação.""}"
Acamprosato,Campral,https://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml;jsessionid=YMMuJFo6_teD5mpIirq-qAf0Y-WEXP5lXNA7hqp7.fo2,"{""dci"": ""Acamprosato"", ""medicamento"": ""Campral"", ""indicacoes"": [""Manter a abstinência em relação às bebidas alcoólicas em pessoas dependentes do álcool."", ""Ajudar a não sofrer uma recaída e a criar uma relação de não dependência com as bebidas alcoólicas, associado a aconselhamento psicológico e social.""], ""indicacoes_key"": [""Abstinência alcoólica"", ""Prevenção recaída""], ""efeitos_indesejaveis"": {""frequentes"": [""Diarreia"", ""Diminuição da líbido"", ""Dor de estômago"", ""Náuseas"", ""Vómitos"", ""Flatulência"", ""Prurido (comichão)"", ""Rash maculopapular"", ""Frigidez ou impotência""], ""outros"": [""Aumento da líbido"", ""Reações de hipersensibilidade (urticária, angioedema, anafiláticas)"", ""Erupções vesiculobolhosas""]}, ""conservacao"": ""Manter fora da vista e do alcance das crianças. Não utilizar após o prazo de validade. Não necessita de precauções especiais de conservação."", ""aviso_critico"": ""Recomenda-se que doentes dependentes do álcool, incluindo os tratados com acamprosato, sejam acompanhados de perto devido à inter-relação entre dependência do álcool, depressão e ideação suicida. A ingestão de álcool durante o tratamento é fortemente desaconselhada, pois pode anular o tratamento e levar a recaídas."", ""idade_minima"": 18, ""gravidez_seguro"": ""condicionado"", ""gravidez_nota"": ""Campral só deverá ser usado durante a gravidez após avaliação cuidadosa da relação benefício/risco pelo médico."", ""amamentacao_seguro"": ""nao"", ""amamentacao_nota"": ""Campral não deverá ser administrado a mulheres a amamentar.""}"
Acarbose,Acarbose Berar,https://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml;jsessionid=62kbQohdLbOBupILNzQSUOsq2ys8x9MJKfU7-5I6.fo2,"{""dci"": ""acarbose"", ""medicamento"": ""Acarbose Berar"", ""indicacoes"": [""Tratar a diabetes mellitus em associação com a dieta."", ""Prevenir, em combinação com a dieta e exercício, a manifestação de diabetes tipo 2 em indivíduos diagnosticados pelo médico com tolerância diminuída à glucose e anomalia da glicemia em jejum (“pré-diabéticos”).""], ""indicacoes_key"": [""Diabetes mellitus"", ""Prevenção diabetes tipo 2""], ""efeitos_indesejaveis"": {""frequentes"": [""flatulência"", ""diarreia"", ""dor abdominal e gastrointestinal""], ""outros"": [""náuseas"", ""vómitos"", ""digestão difícil e dolorosa"", ""aumento passageiro das enzimas do fígado"", ""edema"", ""icterícia"", ""trombocitopenia"", ""reação alérgica"", ""subíleos/íleos"", ""hepatite"", ""pneumatose cistoide intestinal"", ""pustulose exantemática aguda generalizada""]}, ""conservacao"": ""Manter fora da vista e do alcance das crianças. Não utilizar após o prazo de validade. Não conservar acima de 25ºC."", ""aviso_critico"": ""Não tome se tem alergia à acarbose ou a qualquer componente. Contraindicado em menores de 18 anos, gravidez, amamentação, doença intestinal crónica (com digestão/absorção afetadas), úlceras intestinais, obstrução intestinal, hérnias de grandes dimensões, doença renal grave, cetoacidose diabética ou cirrose hepática. Em caso de hipoglicemia, usar glucose (dextrose), não açúcar vulgar. Requer monitorização periódica da função hepática (a cada 3 meses no primeiro ano)."", ""idade_minima"": 18, ""gravidez_seguro"": ""nao"", ""gravidez_nota"": ""Não existem dados suficientes sobre a utilização de acarbose em mulheres grávidas, pelo que não deve ser tomado durante a gravidez."", ""amamentacao_seguro"": ""nao"", ""amamentacao_nota"": ""Não deve ser tomado durante a amamentação.""}"
Aceclofenac,Aceclofenac Mylan,https://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml;jsessionid=P47bTBZ9V78XVfWRNa3M8SK7ovYh_bP-3Gia-YRV.fo2,"{""resumo"": ""Erro ao enviar o texto para o Gemini: Erro ao enviar o texto para o Gemini: HTTP Error 429: Too Many Requests""}"
Acemetacina,Rantudil,https://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml,"{""dci"": ""Acemetacina"", ""medicamento"": ""RANTUDIL / RANTUDIL 90 Retard"", ""indicacoes"": [""Afeções reumatismais (artrite reumatoide, espondilartrites seronegativas)"", ""Tendinites, tenossinovites, bursites"", ""Crises agudas de gota, lumbago, ciática"", ""Osteoartrose"", ""Situações traumáticas (distensões, entorses, contusões)""], ""indicacoes_key"": [""Reumatismo"", ""Tendinite"", ""Gota"", ""Osteoartrose"", ""Traumatismos""], ""efeitos_indesejaveis"": {""frequentes"": [""Náuseas"", ""Dispepsia"", ""Vómitos"", ""Hematemeses"", ""Flatulência"", ""Dor abdominal"", ""Diarreia"", ""Obstipação"", ""Melenas"", ""Estomatite aftosa"", ""Exacerbação de colite"", ""Exacerbação de doença de Crohn"", ""Úlceras pépticas"", ""Perfuração gastrointestinal"", ""Hemorragia gastrointestinal""], ""outros"": [""Dores de cabeça"", ""Vertigens"", ""Alterações visuais transitórias"", ""Alterações auditivas transitórias"", ""Gastrite"", ""Elevação parâmetros hepáticos"", ""Sintomas de colestase"", ""Edema"", ""Hipertensão"", ""Insuficiência cardíaca"", ""Enfarte do miocárdio"", ""Acidente Vascular Cerebral (AVC)"", ""Trombocitopenia"", ""Leucopenia"", ""Diminuição dos níveis de hemoglobina"", ""Agranulocitose reversível"", ""Depressão da medula óssea"", ""Dermatite esfoliativa"", ""Síndroma de Stevens-Johnson"", ""Necrólise epidérmica tóxica"", ""Tinnitus"", ""Visão turva"", ""Dor ocular""]}, ""conservacao"": ""Manter fora do alcance e da vista das crianças. Conservar a temperatura inferior a 25ºC."", ""aviso_critico"": ""Não tomar no último trimestre de gravidez. Risco de hemorragia, ulceração e perfuração gastrointestinal potencialmente fatais. Pode aumentar o risco de ataque cardíaco ou AVC. Interromper ao primeiro sinal de reações cutâneas ou de hipersensibilidade. Não recomendado em crianças e adolescentes com idade inferior a 14 anos."", ""idade_minima"": 14, ""gravidez_seguro"": ""condicionado"", ""gravidez_nota"": ""A inibição da síntese das prostaglandinas pode afetar negativamente a gravidez e/ou o desenvolvimento embrio-fetal, com aumento do risco de aborto espontâneo, malformações cardíacas e gastroschisis. Durante o 1º e 2º trimestre, só deve ser administrado se estritamente necessário, na menor dose e duração possível. Contraindicado no 3º trimestre devido a toxicidade cardiopulmonar fetal, disfunção renal e prolongamento do trabalho de parto."", ""amamentacao_seguro"": ""nao"", ""amamentacao_nota"": ""A acemetacina passa para o leite materno em pequenas quantidades. Não deve ser administrado durante o aleitamento para evitar efeitos indesejados no lactente.""}"
Acenocumarol,Acenocumarol Generis,https://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml,"{""resumo"": ""Erro ao enviar o texto para o Gemini: Erro ao enviar o texto para o Gemini: HTTP Error 429: Too Many Requests""}"
Aceponato de metilprednisolona,Advantan,https://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml,"{""dci"": ""Aceponato de metilprednisolona"", ""medicamento"": ""Advantan"", ""indicacoes"": [""eczema endógeno (dermatite atópica, neurodermite)"", ""eczema de contacto"", ""eczema degenerativo"", ""eczema desidrótico"", ""eczema numular"", ""eczema não classificado"", ""eczema infantil""], ""indicacoes_key"": [""eczema endógeno"", ""eczema contacto"", ""eczema degenerativo"", ""eczema desidrótico"", ""eczema numular"", ""eczema não classificado"", ""eczema infantil""], ""efeitos_indesejaveis"": {""frequentes"": [""ardor no local de aplicação"", ""prurido no local de aplicação"", ""acne""], ""outros"": [""secura no local de aplicação"", ""eritema no local de aplicação"", ""vesículas no local de aplicação"", ""foliculite no local de aplicação"", ""erupção cutânea no local de aplicação"", ""parestesia no local de aplicação"", ""hipersensibilidade medicamentosa"", ""infeção cutânea fúngica"", ""celulite no local de aplicação"", ""edema no local de aplicação"", ""irritação no local de aplicação"", ""piodermite"", ""fissuras cutâneas"", ""telangiectasia"", ""atrofia cutânea"", ""estria cutânea"", ""dermatite perioral"", ""descoloração da pele"", ""reação alérgica cutânea"", ""hipertricose"", ""eczema no local de aplicação"", ""edema periférico"", ""equimose"", ""impetigo"", ""pele oleosa""]}, ""conservacao"": ""Conservar a temperatura inferior a 25°C. Manter este medicamento fora da vista e do alcance das crianças."", ""aviso_critico"": ""A aplicação extensiva de corticosteroides tópicos a áreas extensas do corpo ou por períodos de tempo prolongados, em particular sob oclusão, aumenta significativamente o risco de efeitos secundários. O tratamento sob condições oclusivas deverá ser evitado, exceto quando indicado."", ""idade_minima"": 0, ""gravidez_seguro"": ""condicionado"", ""gravidez_nota"": ""Em geral, a utilização de preparações tópicas contendo corticoides deve ser evitada durante os primeiros três meses da gravidez. Em particular, o tratamento de grandes extensões, a utilização prolongada ou vestuário com propriedades oclusivas devem ser evitados durante a gravidez."", ""amamentacao_seguro"": ""condicionado"", ""amamentacao_nota"": ""Se está a amamentar, não deve aplicar Advantan no peito. O seu médico irá querer considerar o facto de estar a amamentar antes de prescrever a utilização de Advantan, pelo que deve informá-lo. Em particular, o tratamento de grandes extensões, a utilização prolongada ou vestuário com propriedades oclusivas devem ser evitados durante a amamentação.""}"
Acetato de eslicarbazepina,Escarpilo,https://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml,"{""dci"": ""Acetato de eslicarbazepina"", ""medicamento"": ""Escarpilo"", ""indicacoes"": [""Tratamento de epilepsia em adultos com diagnóstico recente (monoterapia)"", ""Tratamento de epilepsia em adultos, adolescentes e crianças com mais de 6 anos com crises parciais (terapêutica adjuvante)""], ""indicacoes_key"": [""Epilepsia adultos"", ""Monoterapia"", ""Crises parciais"", ""Terapêutica adjuvante""], ""efeitos_indesejaveis"": {""frequentes"": [""Sensação de tontura ou sonolência"", ""Sensação de instabilidade, cabeça à roda ou flutuação"", ""Sensação de enjoo ou vómito"", ""Dor de cabeça"", ""Diarreia"", ""Visão dupla ou turva"", ""Dificuldade de concentração"", ""Sensação de falta de energia ou cansaço"", ""Tremores"", ""Erupção na pele"", ""Níveis baixos de sódio no sangue (análises)"", ""Perda de apetite"", ""Dificuldade em adormecer"", ""Dificuldade na coordenação dos movimentos (ataxia)"", ""Aumento de peso""], ""outros"": [""Bolhas ou descamação da pele e/ou mucosas, erupção na pele, dificuldade em engolir ou respirar, inchaço dos lábios, cara, pálpebras, garganta ou língua (sinais de reação alérgica grave)"", ""Sensação de peso"", ""Alergia"", ""Prisão de ventre"", ""Convulsões"", ""Menor funcionamento da tiroide (com sintomas como redução dos níveis de hormonas tiroideias, intolerância ao frio, língua volumosa, unhas/cabelos finos e quebradiços, baixa temperatura corporal)"", ""Problemas de fígado (aumento das enzimas do fígado)"", ""Tensão alta ou aumento severo da tensão arterial"", ""Tensão baixa ou queda na tensão arterial ao levantar-se"", ""Níveis baixos de sais (incluindo cloreto) no sangue ou redução dos glóbulos vermelhos (análises)"", ""Desidratação"", ""Alteração dos movimentos oculares, visão enevoada ou vermelhidão nos olhos"", ""Quedas"", ""Queimadura térmica"", ""Falta de memória ou esquecimento"", ""Choro, sensação de depressão, nervosismo ou confusão, falta de interesse ou emoção"", ""Dificuldade em falar ou escrever ou compreender a linguagem falada ou escrita"", ""Agitação"", ""Défice de atenção/hiperatividade"", ""Irritabilidade"", ""Alterações do humor ou alucinações"", ""Dificuldade em falar"", ""Hemorragia nasal"", ""Dor no peito"", ""Formigueiro e/ou adormecimento em qualquer parte do corpo"", ""Enxaqueca"", ""Sensação de queimadura"", ""Sensibilidade táctil anormal"", ""Alterações do odor"", ""Zumbidos"", ""Dificuldade na audição"", ""Inchaço nas pernas e braços"", ""Azia, indisposição gástrica, dor abdominal, abdómen distendido e desconforto ou boca seca"", ""Fezes escuras (como carvão)"", ""Gengivas inflamadas e dores de dentes"", ""Suor ou pele seca"", ""Alterações na pele (por ex. pele vermelha)"", ""Queda de cabelo"", ""Infeção do trato urinário"", ""Sensação de fraqueza, mal-estar geral ou de arrepios"", ""Perda de peso"", ""Dor muscular, dor nos membros, fraqueza muscular"", ""Alteração metabólica óssea"", ""Aumento de uma proteína relacionada com o metabolismo ósseo"", ""Afrontamento, membros frios"", ""Batimentos cardíacos lentos ou irregulares"", ""Sonolência excessiva"", ""Sedação"", ""Doenças neurológicas do movimento (com sintomas como tremores, dor, cãibras)"", ""Intoxicação medicamentosa"", ""Ansiedade"", ""Redução dos níveis de plaquetas no sangue (aumenta risco de sangramento ou equimose)"", ""Dor forte nas costas e no estômago (inflamação do pâncreas)"", ""Redução dos glóbulos brancos (facilita infeções)"", ""Síndrome de Stevens-Johnson/necrólise epidérmica tóxica (manchas avermelhadas tipo-alvo ou circulares com bolhas centrais, descamação da pele, úlceras na boca, garganta, nariz, órgãos genitais e olhos, olhos vermelhos e inchados, precedidos por febre e/ou sintomas gripais)"", ""DRESS ou síndrome de hipersensibilidade a medicamentos (sintomas gripais, erupção cutânea no rosto e corpo, temperatura elevada, aumento das enzimas do fígado, alterações no sangue (eosinofilia), gânglios linfáticos aumentados e envolvimento de outros órgãos)"", ""Reação alérgica grave (inchaço da face, garganta, mãos, pés, tornozelos ou pernas)"", ""Urticária (erupção cutânea com comichão)"", ""Letargia, confusão, espasmos musculares ou agravamento significativo das convulsões (sintomas de baixos níveis de sódio no sangue devido a síndrome de secreção inapropriada de hormona antidiurética)"", ""Alteração no ECG (aumento do intervalo PR), com possíveis desmaios ou redução da frequência cardíaca"", ""Distúrbios ósseos (osteopenia, osteoporose, fraturas)""]}, ""conservacao"": ""Manter fora da vista e do alcance das crianças. Não necessita de precauções especiais de conservação. Não utilizar após o prazo de validade."", ""aviso_critico"": ""Contacte imediatamente o seu médico se tiver erupção na pele, bolhas, dificuldade em engolir/respirar, inchaço (sinais de reação alérgica grave); se sentir confusão, agravamento das crises epiléticas ou diminuição da consciência (sinais de baixos níveis de sal no sangue); ou se tiver pensamentos de autoagressão ou suicídio. Pare de tomar Escarpilo e procure assistência médica imediata se surgir uma erupção grave ou outros sintomas na pele."", ""idade_minima"": 7, ""gravidez_seguro"": ""nao"", ""gravidez_nota"": ""Não é recomendado tomar Escarpilo durante a gravidez devido a efeitos desconhecidos no bebé e risco aumentado de malformações e problemas de neurodesenvolvimento. Mulheres em idade fértil devem usar métodos contracetivos eficazes, pois Escarpilo pode reduzir a eficácia dos contracetivos hormonais. Não parar o tratamento sem consultar o médico devido ao risco de crises convulsivas. O bebé pode ter risco de problemas hemorrágicos ao nascer."", ""amamentacao_seguro"": ""nao"", ""amamentacao_nota"": ""Não amamentar enquanto estiver a tomar Escarpilo, pois não se sabe se passa para o leite materno.""}"
Acetato de glatirâmero,Copaxone,https://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml,"{""dci"": ""acetato de glatirâmero"", ""medicamento"": ""Copaxone"", ""indicacoes"": [""Tratamento de formas recorrentes de esclerose múltipla (EM)."", ""Reduzir o número de ataques de EM (surtos)."", ""Para doentes capazes de caminhar sem ajuda."", ""Em doentes com primeiros sintomas que indicam risco elevado de desenvolver EM.""], ""indicacoes_key"": [""Esclerose múltipla"", ""Reduzir surtos"", ""Caminhar sem ajuda"", ""Sintomas iniciais EM""], ""efeitos_indesejaveis"": {""frequentes"": [""Infeção, síndroma gripal"", ""Ansiedade, depressão"", ""Dor de cabeça"", ""Erupção na pele"", ""Dor nas articulações e nas costas"", ""Sensação de fraqueza"", ""Reações no local de injeção (vermelhidão, dor, bolhas, comichão, inchaço, inflamação, hipersensibilidade)"", ""Inchaço dos gânglios linfáticos"", ""Perda de apetite, ganho de peso"", ""Nervosismo"", ""Enxaquecas, tremor"", ""Visão dupla, perturbações na visão"", ""Tosse, febre dos fenos"", ""Prisão de ventre, vómitos"", ""Nódoas negras, suar excessivamente, comichão"", ""Febre""], ""outros"": [""Reação alérgica grave (erupção da pele, inchaço das pálpebras/face/lábios, falta de ar súbita, convulsões, desmaios)"", ""Reações imediatas após injeção (rubor do peito ou da face, falta de ar, dor no peito, batimento cardíaco acelerado ou irregular)"", ""Problemas hepáticos (náusea, perda de apetite, urina de cor escura, fezes claras, amarelecimento da pele ou dos olhos, sangrar facilmente)"", ""Cancro na pele"", ""Tentativa de suicídio"", ""Paralisia"", ""Perda de visão"", ""Problemas nos pulmões, sensação de asfixia"", ""Cálculos biliares"", ""Destruição de tecido no local de injeção""]}, ""conservacao"": ""Conservar no frigorífico (2º a 8ºC). Pode ser conservado até um mês fora do frigorífico (15ºC a 25ºC) uma única vez. Não congelar. Manter na embalagem original para proteger da luz e fora do alcance das crianças. Deitar fora seringas com partículas."", ""aviso_critico"": ""Contacte o médico imediatamente em caso de reações alérgicas graves (erupção, inchaço, falta de ar, convulsões, desmaios), reações persistentes após injeção (rubor, falta de ar, dor no peito, taquicardia) ou sintomas de problemas hepáticos (náusea, urina escura, amarelecimento da pele/olhos). Informe o médico sobre problemas renais, cardíacos ou hepáticos pré-existentes. A primeira utilização deve ser supervisionada por um profissional de saúde."", ""idade_minima"": 12, ""gravidez_seguro"": ""condicionado"", ""gravidez_nota"": ""Copaxone pode ser utilizado durante a gravidez, se indicado pelo seu médico. Aconselhe-se com o seu médico acerca do tratamento com Copaxone durante a gravidez."", ""amamentacao_seguro"": ""sim"", ""amamentacao_nota"": ""Dados limitados em humanos não mostraram efeitos negativos de Copaxone em recém-nascidos/lactentes amamentados. Copaxone pode ser utilizado durante a amamentação.""}"
Acetazolamida,Carbinib,https://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml,"{""dci"": ""Acetazolamida"", ""medicamento"": ""Carbinib"", ""indicacoes"": [""como adjuvante no tratamento do glaucoma crónico simples (de ângulo aberto), glaucoma secundário e pré-operatoriamente no glaucoma agudo de ângulo fechado de modo a se conseguir um abaixamento da pressão intraocular"", ""na retenção anormal de líquidos (Carbinib atua como diurético)"", ""na epilepsia (convulsões)""], ""indicacoes_key"": [""Glaucoma"", ""Retenção líquidos"", ""Epilepsia""], ""efeitos_indesejaveis"": {""frequentes"": [""dor de cabeça"", ""diarreia"", ""náuseas ou vómitos"", ""perda de apetite"", ""sede ou gosto metálico na boca"", ""tonturas"", ""perda do controlo total dos braços e pernas"", ""rubor"", ""necessidade aumentada de urinar"", ""fadiga ou irritabilidade"", ""excitação"", ""formigueiro ou adormecimento dos dedos dos pés ou das mãos ou sensação de frio nas extremidades""], ""outros"": [""reações alérgicas graves (pieira súbita, dificuldade em respirar, inchaço das pálpebras, rosto ou lábios, erupções cutâneas ou comichão)"", ""afetar as células do sangue (propensão a infeções, coagulação inadequada, dor de garganta, febre, hematomas, manchas vermelhas ou roxas na pele)"", ""músculos fracos"", ""convulsões"", ""afetar o fígado e os rins (dores na parte inferior das costas, dor ou ardor ao urinar, dificuldade em urinar ou deixar de urinar, sangue na urina, fezes pálidas, pele ou olhos amarelados, fezes pretas ou semelhantes a alcatrão, sangue nas fezes)"", ""depressão"", ""sonolência ou confusão"", ""diminuição da líbido"", ""zumbidos ou dificuldade em ouvir"", ""miopia transitória"", ""diminuição da visão ou dor nos olhos devido à acumulação de líquido na camada vascular do olho (efusão coroidal ou descolamento da coroideia)"", ""erupções cutâneas incluindo sensibilidade aumentada à luz solar"", ""reação cutânea grave (erupção cutânea avermelhada descamativa com pequenos inchaços debaixo da pele e bolhas - pustulose exantemática)"", ""falta de ar ou dificuldade em respirar (acumulação de fluido nos pulmões - edema pulmonar)"", ""afetar os níveis de potássio ou sódio no sangue"", ""adelgaçamento ósseo"", ""risco de cálculos renais"", ""diminuição ou aumento dos níveis de açúcar no sangue"", ""pensamentos de autoagressão ou suicidas""]}, ""conservacao"": ""Manter este medicamento fora da vista e do alcance das crianças. Não conservar acima de 25ºC. Conservar na embalagem de origem."", ""aviso_critico"": ""Um pequeno número de pessoas tratadas com antiepiléticos, tais como acetazolamida, teve pensamentos de autoagressão ou suicidas. Se, em qualquer momento, tiver estes pensamentos, contacte imediatamente o seu médico."", ""idade_minima"": 0, ""gravidez_seguro"": ""nao"", ""gravidez_nota"": ""Carbinib não deve ser tomado na gravidez, especialmente durante o primeiro trimestre."", ""amamentacao_seguro"": ""condicionado"", ""amamentacao_nota"": ""Pode ser tomado na amamentação, mas apenas por aconselhamento médico.""}"
