nRegisto,dci,nome_medicamento,forma_farmaceutica,dosagem,tamanho_embalagem,cnpem,pricePVP,pricePVPnotified,priceUtente,pricePensionist,commercialized,isGeneric,infoUrl
5875653,Abaloparatida,Eladynos,Solução injetável em caneta pré-cheia,80 mcg/dose,1 unidade(s) - 1.5 ml,50202820,"€ 258,22",,"€ 80,05","€ 41,32",Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=6e54c895723d44008796cef403392c0a
2409985,Acamprosato,Campral,Comprimido gastrorresistente,333 mg,60 unidade(s),50067184,"€ 16,00",,"€ 10,08","€ 7,68",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=9af7bf906d5d11e2856adfdffe9a5fde
5863972,Acarbose,Acarbose Berar,Comprimido,100 mg,60 unidade(s),50009001,"€ 6,13",,"€ 0,00","€ 0,00",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=f881cea77585faabe050a8c034291379
5863949,Acarbose,Acarbose Berar,Comprimido,50 mg,60 unidade(s),50008986,"€ 5,02",,"€ 0,00","€ 0,00",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=f881cea77584faabe050a8c034291379
5168067,Acarbose,Acarbose Mylan,Comprimido,50 mg,20 unidade(s),50008994,"€ 3,56",,"€ 0,62","€ 0,45",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=86e367d06d8e11e2a3bcf1b81b118246
5110119,Acarbose,Acarbose Farmoz,Comprimido,50 mg,60 unidade(s),50008986,"€ 6,28",,"€ 1,01","€ 0,71",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=4a13a3706d9211e2aceaf9317fbf33e6
5107214,Acarbose,Acarbose Bluepharma,Comprimido,100 mg,50 unidade(s),50009001,"€ 6,68",,"€ 1,25","€ 0,95",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=0bb7a8806d9011e2b09adb92145f197e
5111513,Acarbose,Acarbose Generis,Comprimido,100 mg,50 unidade(s),50009001,"€ 6,68",,"€ 1,25","€ 0,95",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=567711006d9311e28128a38d3fd9f310
5168117,Acarbose,Acarbose Mylan,Comprimido,100 mg,50 unidade(s),50009001,"€ 6,68",,"€ 1,25","€ 0,95",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=859a1ef06d8e11e2bb50ed8d72356882
5107206,Acarbose,Acarbose Bluepharma,Comprimido,50 mg,50 unidade(s),50008986,"€ 5,83",,"€ 1,43","€ 1,18",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=ffd2c4506d8f11e294afab1cb085797b
5111505,Acarbose,Acarbose Generis,Comprimido,50 mg,50 unidade(s),50008986,"€ 5,83",,"€ 1,43","€ 1,18",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=55b9b4706d9311e2b99e8d93bbd1a8a7
5168075,Acarbose,Acarbose Mylan,Comprimido,50 mg,50 unidade(s),50008986,"€ 5,83",,"€ 1,43","€ 1,18",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=86e367d06d8e11e2a3bcf1b81b118246
5110150,Acarbose,Acarbose Farmoz,Comprimido,100 mg,60 unidade(s),50009001,"€ 8,52",,"€ 2,00","€ 1,64",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=4a7412f06d9211e2835efcdbd82c12c5
5671789,Aceclofenac,Aceclofenac Mylan,Comprimido revestido por película,100 mg,20 unidade(s),50043242,"€ 3,95",,"€ 2,45","€ 0,09",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=8e0f70506db911e2a23de7998463115f
5805288,Aceclofenac,Aceclofenac Alter 100 mg Comprimidos,Comprimido revestido por película,100 mg,20 unidade(s),50043242,"€ 4,04",,"€ 2,54","€ 0,18",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=81f572606db911e2bbe3e12d14db4e29
5804489,Aceclofenac,Aceclofenac Generis,Comprimido revestido por película,100 mg,20 unidade(s),50043242,"€ 4,06",,"€ 2,56","€ 0,20",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=b89cfe506db911e2880ba2f400b21c3e
5267471,Aceclofenac,Airtal,Pó para suspensão oral,100 mg,20 unidade(s),50056042,"€ 4,77",,"€ 3,01","€ 2,29",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=743dd3606da011e2ac969eec13a19acc
5267455,Aceclofenac,Airtal,Comprimido revestido por película,100 mg,20 unidade(s),50043242,"€ 4,82",,"€ 3,32","€ 0,96",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=adf628d06c8f11e2acbdd232cee766db
5804687,Aceclofenac,Aceclofenac Generis,Comprimido revestido por película,100 mg,60 unidade(s),50043269,"€ 6,68",,"€ 3,97","€ 0,00",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=b89cfe506db911e2880ba2f400b21c3e
5671987,Aceclofenac,Aceclofenac Mylan,Comprimido revestido por película,100 mg,60 unidade(s),50043269,"€ 6,68",,"€ 3,97","€ 0,00",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=8e0f70506db911e2a23de7998463115f
5805486,Aceclofenac,Aceclofenac Alter 100 mg Comprimidos,Comprimido revestido por película,100 mg,60 unidade(s),50043269,"€ 7,33",,"€ 4,62","€ 0,37",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=81f572606db911e2bbe3e12d14db4e29
5267463,Aceclofenac,Airtal,Comprimido revestido por película,100 mg,60 unidade(s),50043269,"€ 9,97",,"€ 7,26","€ 3,01",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=adf628d06c8f11e2acbdd232cee766db
