epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9476,1.00832,1.45336,1.32955,0.87594,0.66414,0.80991,0.58706,1.08473,1.29211,1.48735,0.000550054,0.000550054,0.000550054
2,102.878,1.08264,0.89099,1.36214,0.1618,0.18833,0.11478,0.05045,2.71061,77.6271,3.24527,0.00108748,0.00108748,0.00108748
3,139.067,1.09906,0.85096,1.37215,0.59468,0.64513,0.57548,0.35582,1.50989,2.43688,1.85108,0.00160656,0.00160656,0.00160656
4,176.361,1.13557,0.85069,1.38105,0.66242,0.66313,0.56635,0.38017,1.24384,1.57372,1.61024,0.00158448,0.00158448,0.00158448
5,212.309,1.08792,0.77726,1.3455,0.82105,0.76091,0.83267,0.60678,1.2548,1.40227,1.575,0.00155698,0.00155698,0.00155698
6,249.073,1.02075,0.73189,1.30499,0.88996,0.80811,0.87984,0.70452,1.07952,1.16381,1.49032,0.00152947,0.00152947,0.00152947
7,285.771,1.01029,0.69185,1.297,0.89379,0.86548,0.90995,0.70824,0.88217,0.85247,1.23798,0.00150197,0.00150197,0.00150197
8,321.709,0.95394,0.64419,1.25986,0.84715,0.75371,0.88279,0.71166,0.82604,1.19944,1.20199,0.00147446,0.00147446,0.00147446
9,358.765,0.95847,0.65804,1.24632,0.95464,0.92526,0.96689,0.78424,0.80214,0.72213,1.16214,0.00144696,0.00144696,0.00144696
10,395.139,0.92846,0.61704,1.22786,0.87948,0.8103,0.83205,0.6154,0.85214,0.97091,1.25316,0.00141945,0.00141945,0.00141945
11,431.053,0.90381,0.59323,1.22255,0.96304,0.92695,0.97979,0.81439,0.67085,0.52011,1.06659,0.00139195,0.00139195,0.00139195
12,468.975,0.89022,0.57573,1.21423,0.9322,0.94047,0.97638,0.82027,0.71428,0.62716,1.11395,0.00136444,0.00136444,0.00136444
13,504.601,0.88212,0.56749,1.20134,0.96805,0.94948,0.98396,0.83687,0.60248,0.45712,1.01575,0.00133693,0.00133693,0.00133693
14,540.539,0.83268,0.52721,1.16263,0.94478,0.96427,0.98539,0.83027,0.66993,0.46074,1.04934,0.00130943,0.00130943,0.00130943
15,577.94,0.82798,0.51115,1.1714,0.95776,0.96654,0.98516,0.85192,0.59623,0.42838,1.00603,0.00128192,0.00128192,0.00128192
16,613.674,0.7816,0.49232,1.14161,0.95875,0.93371,0.97768,0.84717,0.61433,0.47956,1.02742,0.00125442,0.00125442,0.00125442
17,649.605,0.77643,0.49941,1.14147,0.97569,0.92619,0.98134,0.84392,0.61831,0.51289,1.04746,0.00122691,0.00122691,0.00122691
18,686.926,0.7805,0.49316,1.15369,0.95162,0.94528,0.97766,0.85479,0.57079,0.45857,0.99365,0.00119941,0.00119941,0.00119941
19,722.728,0.77134,0.47967,1.13514,0.96735,0.95739,0.9837,0.86556,inf,0.42683,0.97119,0.0011719,0.0011719,0.0011719
20,758.704,0.74849,0.47278,1.12282,0.94809,0.9403,0.97807,0.83761,0.59105,0.47965,1.02598,0.0011444,0.0011444,0.0011444
21,796.075,0.72688,0.44682,1.11165,0.97119,0.97707,0.99105,0.88599,0.4964,0.34779,0.94031,0.00111689,0.00111689,0.00111689
22,831.984,0.72481,0.44206,1.11198,0.95551,0.97143,0.98915,0.87184,0.51302,0.3867,0.95588,0.00108938,0.00108938,0.00108938
23,868.049,0.71594,0.43476,1.09383,0.97371,0.94887,0.98579,0.84901,0.5752,0.46162,0.99041,0.00106188,0.00106188,0.00106188
24,905.298,0.71356,0.43784,1.10017,0.79924,0.79407,0.78971,0.57418,1.33891,1.52489,2.0475,0.00103437,0.00103437,0.00103437
25,940.991,0.71449,0.44351,1.10767,0.97208,0.97997,0.99157,0.88008,0.50158,0.35202,0.95578,0.00100687,0.00100687,0.00100687
26,977.162,0.70219,0.43272,1.09906,0.95873,0.96718,0.98899,0.86995,0.52192,0.36137,0.94245,0.000979362,0.000979362,0.000979362
27,1014.22,0.70197,0.42523,1.10219,0.95136,0.98373,0.98996,0.8757,0.50499,0.37353,0.96215,0.000951857,0.000951857,0.000951857
28,1049.94,0.70904,0.42223,1.09382,0.96744,0.95823,0.98558,0.86876,0.53482,0.40901,0.98168,0.000924352,0.000924352,0.000924352
29,1086.06,0.65956,0.39786,1.0755,0.97892,0.96941,0.98839,0.88036,0.53032,0.35239,0.96005,0.000896846,0.000896846,0.000896846
30,1123.24,0.67773,0.41233,1.07884,0.95685,0.98023,0.98634,0.8811,0.48878,0.36516,0.93264,0.00086934,0.00086934,0.00086934
31,1159.07,0.65564,0.39761,1.06591,0.94398,0.96942,0.98944,0.89201,0.47396,0.34435,0.92589,0.000841835,0.000841835,0.000841835
32,1195.62,0.66194,0.39505,1.0693,0.95908,0.93056,0.97842,0.8659,0.48306,0.43691,0.95254,0.000814329,0.000814329,0.000814329
33,1232.33,0.65783,0.38656,1.06539,0.9721,0.95045,0.98729,0.87449,0.51386,0.38307,0.95169,0.000786824,0.000786824,0.000786824
34,1268,0.62733,0.37154,1.06724,0.9819,0.95623,0.98929,0.88488,0.48543,0.32021,0.94722,0.000759318,0.000759318,0.000759318
35,1304.86,0.62064,0.37632,1.05695,0.97618,0.95593,0.98702,0.89417,0.46768,0.30545,0.93162,0.000731813,0.000731813,0.000731813
36,1341.49,0.6199,0.36965,1.05045,0.95066,0.95721,0.97954,0.88118,0.47071,0.34173,0.94084,0.000704307,0.000704307,0.000704307
37,1377.53,0.62793,0.37414,1.05509,0.9668,0.97122,0.98886,0.89216,0.48463,0.3164,0.93515,0.000676802,0.000676802,0.000676802
38,1414.65,0.61895,0.3716,1.05198,0.9899,0.96437,0.98849,0.89692,0.45062,0.28651,0.92052,0.000649297,0.000649297,0.000649297
39,1450.92,0.61859,0.36285,1.0505,0.97804,0.97833,0.99177,0.89236,0.45395,0.31524,0.91486,0.000621791,0.000621791,0.000621791
40,1487.08,0.59858,0.35201,1.04424,0.98525,0.966,0.98939,0.89785,0.44416,0.3155,0.90918,0.000594286,0.000594286,0.000594286
41,1524.31,0.58459,0.34611,1.02771,0.97593,0.97012,0.99069,0.9036,0.42272,0.29648,0.90243,0.00056678,0.00056678,0.00056678
42,1560.26,0.58621,0.33952,1.03624,0.98443,0.96975,0.98828,0.90402,0.43078,0.28031,0.90987,0.000539275,0.000539275,0.000539275
43,1596.18,0.57294,0.34013,1.02953,0.98344,0.96293,0.9881,0.89251,0.46131,0.3651,0.93612,0.000511769,0.000511769,0.000511769
44,1633.51,0.5689,0.33125,1.02579,0.96485,0.98168,0.99168,0.90614,0.43911,0.28884,0.9117,0.000484263,0.000484263,0.000484263
45,1669.34,0.57501,0.33515,1.03467,0.9821,0.98003,0.99199,0.90264,0.416,0.27916,0.90014,0.000456758,0.000456758,0.000456758
46,1705.44,0.5633,0.32419,1.01835,0.98265,0.97425,0.99295,0.89906,0.43616,0.26779,0.89848,0.000429253,0.000429253,0.000429253
47,1742.89,0.54279,0.32058,1.00985,0.95616,0.97595,0.98163,0.90316,0.41613,0.27945,0.89244,0.000401747,0.000401747,0.000401747
48,1778.65,0.54969,0.31642,1.01234,0.98596,0.9729,0.99055,0.90873,0.42519,0.29398,0.90641,0.000374242,0.000374242,0.000374242
49,1815.38,0.53392,0.31197,1.01345,0.98458,0.9765,0.9888,0.90834,0.42172,0.27964,0.89571,0.000346736,0.000346736,0.000346736
50,1851.95,0.51773,0.30478,1.00578,0.97316,0.98198,0.98823,0.91011,0.40717,0.26657,0.89576,0.000319231,0.000319231,0.000319231
51,1889.2,0.49909,0.27142,1.00487,0.96101,0.97721,0.98723,0.90707,0.41889,0.29774,0.90485,0.000291725,0.000291725,0.000291725
52,1925.31,0.47304,0.25423,0.98867,0.96915,0.96975,0.98633,0.91026,0.41701,0.28012,0.90284,0.00026422,0.00026422,0.00026422
53,1961.37,0.46601,0.25443,0.98772,0.97383,0.972,0.98904,0.91135,0.40466,0.28112,0.89516,0.000236714,0.000236714,0.000236714
54,1996.33,0.45838,0.24805,0.96793,0.97287,0.96691,0.98939,0.90799,0.3964,0.27852,0.89204,0.000209209,0.000209209,0.000209209
55,2031.18,0.44389,0.23995,0.97604,0.97271,0.96462,0.99017,0.91092,0.39819,0.28472,0.89083,0.000181703,0.000181703,0.000181703
56,2067.26,0.42769,0.23278,0.95645,0.98147,0.96749,0.99235,0.91611,0.38858,0.26512,0.88587,0.000154198,0.000154198,0.000154198
57,2102.72,0.43337,0.23506,0.96309,0.97906,0.972,0.99206,0.91993,0.38305,0.25966,0.88116,0.000126692,0.000126692,0.000126692
58,2137.86,0.41317,0.22505,0.94177,0.99413,0.96669,0.99296,0.91934,0.3742,0.2576,0.87699,9.91865e-05,9.91865e-05,9.91865e-05
59,2173.69,0.41761,0.22534,0.94694,0.98488,0.97359,0.99275,0.92217,0.3637,0.24415,0.8754,7.1681e-05,7.1681e-05,7.1681e-05
60,2209.6,0.40483,0.21982,0.93139,0.98435,0.97168,0.9929,0.92328,0.36161,0.24556,0.87547,4.41755e-05,4.41755e-05,4.41755e-05
