epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8353,1.28767,4.991,1.67213,0.60602,0.37277,0.61069,0.55045,0.36138,5.27132,0.92967,5e-05,5e-05,5e-05
2,97.9392,1.15036,3.24882,1.54829,0.92008,0.82266,0.995,0.55167,1.2025,4.5889,1.54913,0.000110272,0.000110272,0.000110272
3,143.68,1.08379,2.07055,1.37916,0.88531,1,0.995,0.88083,0.55425,3.47448,1.14985,0.00016807,0.00016807,0.00016807
4,189.059,1.0791,1.95258,1.46335,0.94478,0.66667,0.907,0.75233,0.85916,4.14418,1.37199,0.000223392,0.000223392,0.000223392
5,233.121,1.14287,1.68423,1.47907,0.96544,0.85729,0.995,0.87733,0.61983,3.16291,1.17629,0.00027624,0.00027624,0.00027624
6,278.772,0.97724,1.46423,1.39997,0.78971,1,0.995,0.73164,1.02187,3.00979,1.47749,0.000326613,0.000326613,0.000326613
7,322.753,1.11836,1.32963,1.50636,0.83933,0.66667,0.64485,0.4517,1.13284,2.81821,1.63855,0.00037451,0.00037451,0.00037451
8,366.131,1.07896,1.40312,1.51694,0.47506,0.60959,0.6415,0.32979,1.38732,3.52788,1.89984,0.000419932,0.000419932,0.000419932
9,410.095,1.1372,1.29177,1.4663,0.48204,0.55273,0.61623,0.32334,1.63448,3.11,1.97516,0.00046288,0.00046288,0.00046288
10,451.758,1.24003,1.1804,1.54057,0.46931,1,0.62722,0.33856,1.73165,3.02647,2.33819,0.000503353,0.000503353,0.000503353
11,491.226,1.06434,1.15418,1.37446,0.88538,0.44444,0.56047,0.26692,1.69291,2.69761,2.66686,0.00054135,0.00054135,0.00054135
12,527.98,1.1881,1.23043,1.46434,0.82687,0.63652,0.82333,0.52105,1.54137,2.57071,2.88726,0.000576873,0.000576873,0.000576873
13,564.183,1.15215,1.07004,1.49732,0.56818,0.73866,0.76214,0.54689,1.38064,3.21418,2.55029,0.00060992,0.00060992,0.00060992
